time,commit,label,server,scenario,metric,value
2026-09-26T08:02:16,23568de,baseline,tokio,pingpong_1,rss_mib,2.1
2026-09-26T08:02:16,23568de,baseline,tokio,pingpong_1,server_survived,True
2026-09-26T08:02:16,23568de,baseline,tokio,pingpong_1,cpu_us_per_op,5.18
2026-09-26T08:02:16,23568de,baseline,tokio,pingpong_64,requests_per_sec,165833
2026-09-26T08:02:16,23568de,baseline,tokio,pingpong_64,p50_us,382
2026-09-26T08:02:16,23568de,baseline,tokio,pingpong_64,p99_us,477
2026-09-26T08:02:16,23568de,baseline,tokio,pingpong_64,errors,0
2026-09-26T08:02:16,23568de,baseline,tokio,pingpong_64,rss_mib,2.6
2026-09-26T08:02:16,23568de,baseline,tokio,pingpong_64,server_survived,True
2026-09-26T08:02:16,23568de,baseline,tokio,pingpong_64,cpu_us_per_op,17.17
2026-09-26T08:02:16,23568de,baseline,tokio,bulk_1,mib_per_sec,1215.2
2026-09-26T08:02:16,23568de,baseline,tokio,bulk_1,errors,0
2026-09-26T08:02:16,23568de,baseline,tokio,bulk_1,rss_mib,2.1
2026-09-26T08:02:16,23568de,baseline,tokio,bulk_1,server_survived,True
2026-09-26T08:02:16,23568de,baseline,tokio,bulk_1,cpu_us_per_op,1208.55
2026-09-26T08:02:16,23568de,baseline,tokio,bulk_16,mib_per_sec,1104.2
2026-09-26T08:02:16,23568de,baseline,tokio,bulk_16,errors,0
2026-09-26T08:02:16,23568de,baseline,tokio,bulk_16,rss_mib,2.4
2026-09-26T08:02:16,23568de,baseline,tokio,bulk_16,server_survived,True
2026-09-26T08:02:16,23568de,baseline,tokio,bulk_16,cpu_us_per_op,1365.29
2026-09-26T08:02:16,23568de,baseline,tokio,churn_32,conns_per_sec,38146
2026-09-26T08:02:16,23568de,baseline,tokio,churn_32,errors,0
2026-09-26T08:02:16,23568de,baseline,tokio,churn_32,rss_mib,2.5
2026-09-26T08:02:16,23568de,baseline,tokio,churn_32,server_survived,True
2026-09-26T08:02:16,23568de,baseline,tokio,churn_32,cpu_us_per_op,26.66
2026-09-26T08:02:16,23568de,baseline,tokio,hold_5000,max_open_conns,5000
2026-09-26T08:02:16,23568de,baseline,tokio,hold_5000,hit_limit,False
2026-09-26T08:02:16,23568de,baseline,tokio,hold_5000,rss_mib,29.1
2026-09-26T08:02:16,23568de,baseline,tokio,hold_5000,server_survived,True
2026-09-26T08:03:23,23568de,baseline,roc,pingpong_1,requests_per_sec,68349
2026-09-26T08:03:23,23568de,baseline,roc,pingpong_1,p50_us,14
2026-09-26T08:03:23,23568de,baseline,roc,pingpong_1,p99_us,22
2026-09-26T08:03:23,23568de,baseline,roc,pingpong_1,errors,0
2026-09-26T08:03:23,23568de,baseline,roc,pingpong_1,rss_mib,2.5
2026-09-26T08:03:23,23568de,baseline,roc,pingpong_1,server_survived,True
2026-09-26T08:03:23,23568de,baseline,roc,pingpong_1,cpu_us_per_op,4.78
2026-09-26T08:03:23,23568de,baseline,roc,pingpong_64,requests_per_sec,162003
2026-09-26T08:03:23,23568de,baseline,roc,pingpong_64,p50_us,382
2026-09-26T08:03:23,23568de,baseline,roc,pingpong_64,p99_us,508
2026-09-26T08:03:23,23568de,baseline,roc,pingpong_64,errors,0
2026-09-26T08:03:23,23568de,baseline,roc,pingpong_64,rss_mib,4.0
2026-09-26T08:03:23,23568de,baseline,roc,pingpong_64,server_survived,True
2026-09-26T08:03:23,23568de,baseline,roc,pingpong_64,cpu_us_per_op,12.02
2026-09-26T08:03:23,23568de,baseline,roc,bulk_1,mib_per_sec,1782.2
2026-09-26T08:03:23,23568de,baseline,roc,bulk_1,errors,0
2026-09-26T08:03:23,23568de,baseline,roc,bulk_1,rss_mib,2.5
2026-09-26T08:03:23,23568de,baseline,roc,bulk_1,server_survived,True
2026-09-26T08:03:23,23568de,baseline,roc,bulk_1,cpu_us_per_op,562.79
2026-09-26T08:03:23,23568de,baseline,roc,bulk_16,mib_per_sec,1104.3
2026-09-26T08:03:23,23568de,baseline,roc,bulk_16,errors,0
2026-09-26T08:03:23,23568de,baseline,roc,bulk_16,rss_mib,5.1
2026-09-26T08:03:23,23568de,baseline,roc,bulk_16,server_survived,True
2026-09-26T08:03:23,23568de,baseline,roc,bulk_16,cpu_us_per_op,1057.56
2026-09-26T08:03:23,23568de,baseline,roc,churn_32,conns_per_sec,38564
2026-09-26T08:03:23,23568de,baseline,roc,churn_32,errors,0
2026-09-26T08:03:23,23568de,baseline,roc,churn_32,rss_mib,3.9
2026-09-26T08:03:23,23568de,baseline,roc,churn_32,server_survived,True
2026-09-26T08:03:23,23568de,baseline,roc,churn_32,cpu_us_per_op,31.53
2026-09-26T08:03:23,23568de,baseline,roc,hold_5000,max_open_conns,1024
2026-09-26T08:03:23,23568de,baseline,roc,hold_5000,hit_limit,True
2026-09-26T08:03:23,23568de,baseline,roc,hold_5000,rss_mib,0.0
2026-09-26T08:03:23,23568de,baseline,roc,hold_5000,server_survived,False
2026-09-26T08:03:23,23568de,baseline,threads,pingpong_1,requests_per_sec,68184
2026-09-26T08:03:23,23568de,baseline,threads,pingpong_1,p50_us,14
2026-09-26T08:03:23,23568de,baseline,threads,pingpong_1,p99_us,25
2026-09-26T08:03:23,23568de,baseline,threads,pingpong_1,errors,0
2026-09-26T08:03:23,23568de,baseline,threads,pingpong_1,rss_mib,1.6
2026-09-26T08:03:23,23568de,baseline,threads,pingpong_1,server_survived,True
2026-09-26T08:03:23,23568de,baseline,threads,pingpong_1,cpu_us_per_op,4.52
2026-09-26T08:03:23,23568de,baseline,threads,pingpong_64,requests_per_sec,161786
2026-09-26T08:03:23,23568de,baseline,threads,pingpong_64,p50_us,382
2026-09-26T08:03:23,23568de,baseline,threads,pingpong_64,p99_us,484
2026-09-26T08:03:23,23568de,baseline,threads,pingpong_64,errors,0
2026-09-26T08:03:23,23568de,baseline,threads,pingpong_64,rss_mib,1.8
2026-09-26T08:03:23,23568de,baseline,threads,pingpong_64,server_survived,True
2026-09-26T08:03:23,23568de,baseline,threads,pingpong_64,cpu_us_per_op,11.36
2026-09-26T08:03:23,23568de,baseline,threads,bulk_1,mib_per_sec,1868.7
2026-09-26T08:03:23,23568de,baseline,threads,bulk_1,errors,0
2026-09-26T08:03:23,23568de,baseline,threads,bulk_1,rss_mib,1.6
2026-09-26T08:03:23,23568de,baseline,threads,bulk_1,server_survived,True
2026-09-26T08:03:23,23568de,baseline,threads,bulk_1,cpu_us_per_op,540.62
2026-09-26T08:03:23,23568de,baseline,threads,bulk_16,mib_per_sec,786.9
2026-09-26T08:03:23,23568de,baseline,threads,bulk_16,errors,0
2026-09-26T08:03:23,23568de,baseline,threads,bulk_16,rss_mib,1.6
2026-09-26T08:03:23,23568de,baseline,threads,bulk_16,server_survived,True
2026-09-26T08:03:23,23568de,baseline,threads,bulk_16,cpu_us_per_op,1100.1
2026-09-26T08:03:23,23568de,baseline,threads,churn_32,conns_per_sec,34250
2026-09-26T08:03:23,23568de,baseline,threads,churn_32,errors,0
2026-09-26T08:03:23,23568de,baseline,threads,churn_32,rss_mib,1.9
2026-09-26T08:03:23,23568de,baseline,threads,churn_32,server_survived,True
2026-09-26T08:03:23,23568de,baseline,threads,churn_32,cpu_us_per_op,37.06
2026-09-26T08:03:23,23568de,baseline,threads,hold_5000,max_open_conns,5000
2026-09-26T08:03:23,23568de,baseline,threads,hold_5000,hit_limit,False
2026-09-26T08:03:23,23568de,baseline,threads,hold_5000,rss_mib,13.8
2026-09-26T08:03:23,23568de,baseline,threads,hold_5000,server_survived,True
2026-09-26T08:03:23,23568de,baseline,tokio,pingpong_1,requests_per_sec,65373
2026-09-26T08:03:23,23568de,baseline,tokio,pingpong_1,p50_us,14
2026-09-26T08:03:23,23568de,baseline,tokio,pingpong_1,p99_us,24
2026-09-26T08:03:23,23568de,baseline,tokio,pingpong_1,errors,0
2026-09-26T08:03:23,23568de,baseline,tokio,pingpong_1,rss_mib,2.1
2026-09-26T08:03:23,23568de,baseline,tokio,pingpong_1,server_survived,True
2026-09-26T08:03:23,23568de,baseline,tokio,pingpong_1,cpu_us_per_op,5.14
2026-09-26T08:03:23,23568de,baseline,tokio,pingpong_64,requests_per_sec,163686
2026-09-26T08:03:23,23568de,baseline,tokio,pingpong_64,p50_us,385
2026-09-26T08:03:23,23568de,baseline,tokio,pingpong_64,p99_us,484
2026-09-26T08:03:23,23568de,baseline,tokio,pingpong_64,errors,0
2026-09-26T08:03:23,23568de,baseline,tokio,pingpong_64,rss_mib,2.6
2026-09-26T08:03:23,23568de,baseline,tokio,pingpong_64,server_survived,True
2026-09-26T08:03:23,23568de,baseline,tokio,pingpong_64,cpu_us_per_op,17.46
2026-09-26T08:03:23,23568de,baseline,tokio,bulk_1,mib_per_sec,1199.1
2026-09-26T08:03:23,23568de,baseline,tokio,bulk_1,errors,0
2026-09-26T08:03:23,23568de,baseline,tokio,bulk_1,rss_mib,2.1
2026-09-26T08:03:23,23568de,baseline,tokio,bulk_1,server_survived,True
2026-09-26T08:03:23,23568de,baseline,tokio,bulk_1,cpu_us_per_op,1203.47
2026-09-26T08:03:23,23568de,baseline,tokio,bulk_16,mib_per_sec,843.0
2026-09-26T08:03:23,23568de,baseline,tokio,bulk_16,errors,0
2026-09-26T08:03:23,23568de,baseline,tokio,bulk_16,rss_mib,2.3
2026-09-26T08:03:23,23568de,baseline,tokio,bulk_16,server_survived,True
2026-09-26T08:03:23,23568de,baseline,tokio,bulk_16,cpu_us_per_op,1401.82
2026-09-26T08:03:23,23568de,baseline,tokio,churn_32,conns_per_sec,39660
2026-09-26T08:03:23,23568de,baseline,tokio,churn_32,errors,0
2026-09-26T08:03:23,23568de,baseline,tokio,churn_32,rss_mib,2.5
2026-09-26T08:03:23,23568de,baseline,tokio,churn_32,server_survived,True
2026-09-26T08:03:23,23568de,baseline,tokio,churn_32,cpu_us_per_op,26.18
2026-09-26T08:03:23,23568de,baseline,tokio,hold_5000,max_open_conns,5000
2026-09-26T08:03:23,23568de,baseline,tokio,hold_5000,hit_limit,False
2026-09-26T08:03:23,23568de,baseline,tokio,hold_5000,rss_mib,29.0
2026-09-26T08:03:23,23568de,baseline,tokio,hold_5000,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,pingpong_1,requests_per_sec,72768
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,pingpong_1,p50_us,14
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,pingpong_1,p99_us,28
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,pingpong_1,errors,0
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,pingpong_1,rss_mib,3.1
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,pingpong_1,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,pingpong_1,cpu_us_per_op,4.64
